Agent_ID,Name,Phone,Email,commission_rate,deals_closed,rating,experience_years,avg_closing_days
A0001,Agent A0001,+1-534-665-8373,a0001@realestate.com,2.0,52,4.3,10,64
A0002,Agent A0002,+1-493-463-4698,a0002@realestate.com,2.2,26,3.8,20,82
A0003,Agent A0003,+1-290-534-1121,a0003@realestate.com,2.85,297,3.6,21,83
A0004,Agent A0004,+1-691-610-4878,a0004@realestate.com,1.67,31,4.5,5,61
A0005,Agent A0005,+1-829-613-5411,a0005@realestate.com,1.11,198,4.3,16,67
A0006,Agent A0006,+1-520-659-7012,a0006@realestate.com,1.58,63,4.9,7,49
A0007,Agent A0007,+1-134-138-8917,a0007@realestate.com,1.78,127,3.8,4,68
A0008,Agent A0008,+1-821-477-2854,a0008@realestate.com,1.72,74,3.4,18,72
A0009,Agent A0009,+1-694-593-2311,a0009@realestate.com,2.85,218,4.4,18,38
A0010,Agent A0010,+1-245-847-9624,a0010@realestate.com,2.14,292,3.4,17,90
A0011,Agent A0011,+1-979-868-5578,a0011@realestate.com,2.01,270,4.9,23,60
A0012,Agent A0012,+1-576-629-2281,a0012@realestate.com,2.37,24,3.5,16,82
A0013,Agent A0013,+1-635-724-2449,a0013@realestate.com,1.78,11,4.8,14,65
A0014,Agent A0014,+1-351-583-2279,a0014@realestate.com,1.97,60,3.7,23,85
A0015,Agent A0015,+1-800-748-9834,a0015@realestate.com,1.49,50,4.1,2,84
A0016,Agent A0016,+1-917-693-6119,a0016@realestate.com,1.45,230,4.8,15,31
A0017,Agent A0017,+1-727-154-6628,a0017@realestate.com,2.14,156,4.3,19,58
A0018,Agent A0018,+1-647-897-1176,a0018@realestate.com,2.63,89,4.1,20,39
A0019,Agent A0019,+1-580-564-9399,a0019@realestate.com,2.8,48,3.1,25,62
A0020,Agent A0020,+1-580-687-6431,a0020@realestate.com,2.67,166,5.0,20,65
A0021,Agent A0021,+1-531-461-5827,a0021@realestate.com,2.73,233,3.6,21,77
A0022,Agent A0022,+1-396-271-1578,a0022@realestate.com,1.94,56,3.2,13,44
A0023,Agent A0023,+1-811-711-5981,a0023@realestate.com,1.8900000000000001,30,4.1,18,23
A0024,Agent A0024,+1-844-903-5267,a0024@realestate.com,2.95,283,4.1,9,79
A0025,Agent A0025,+1-162-744-8752,a0025@realestate.com,2.01,188,3.2,14,48
A0026,Agent A0026,+1-692-273-1845,a0026@realestate.com,1.63,225,5.0,17,42
A0027,Agent A0027,+1-772-398-1447,a0027@realestate.com,1.92,157,4.6,5,36
A0028,Agent A0028,+1-393-596-2351,a0028@realestate.com,2.25,69,4.0,19,33
A0029,Agent A0029,+1-229-617-2259,a0029@realestate.com,2.45,65,4.8,16,56
A0030,Agent A0030,+1-971-902-5552,a0030@realestate.com,2.79,296,3.3,13,77
A0031,Agent A0031,+1-358-235-5603,a0031@realestate.com,2.51,226,3.6,20,60
A0032,Agent A0032,+1-381-978-5209,a0032@realestate.com,2.5700000000000003,151,3.3,21,33
A0033,Agent A0033,+1-114-859-2827,a0033@realestate.com,2.56,14,3.1,3,57
A0034,Agent A0034,+1-718-278-3476,a0034@realestate.com,2.46,83,3.1,7,31
A0035,Agent A0035,+1-774-557-7058,a0035@realestate.com,2.96,262,3.4,1,20
A0036,Agent A0036,+1-927-279-5280,a0036@realestate.com,1.73,98,3.7,22,69
A0037,Agent A0037,+1-901-817-4869,a0037@realestate.com,1.78,16,4.1,15,77
A0038,Agent A0038,+1-596-285-9640,a0038@realestate.com,1.22,257,4.3,12,84
A0039,Agent A0039,+1-982-133-6617,a0039@realestate.com,1.37,142,3.5,21,76
A0040,Agent A0040,+1-186-248-3525,a0040@realestate.com,1.58,153,4.8,4,52
A0041,Agent A0041,+1-957-607-7765,a0041@realestate.com,1.32,77,3.6,5,27
A0042,Agent A0042,+1-888-492-4898,a0042@realestate.com,2.24,231,4.3,13,21
A0043,Agent A0043,+1-776-550-3740,a0043@realestate.com,1.75,85,3.2,20,89
A0044,Agent A0044,+1-315-691-6653,a0044@realestate.com,1.45,236,3.6,20,35
A0045,Agent A0045,+1-155-757-5331,a0045@realestate.com,2.5,99,4.2,25,26
A0046,Agent A0046,+1-873-939-2900,a0046@realestate.com,1.57,135,3.2,10,58
A0047,Agent A0047,+1-153-271-8602,a0047@realestate.com,1.63,91,4.0,16,33
A0048,Agent A0048,+1-508-587-5937,a0048@realestate.com,1.34,266,4.0,21,15
A0049,Agent A0049,+1-587-864-9724,a0049@realestate.com,1.7000000000000002,17,4.1,14,33
A0050,Agent A0050,+1-339-488-7390,a0050@realestate.com,2.56,109,3.5,11,68
